Gene stable ID,NCBI gene (formerly Entrezgene) ID,HGNC symbol
ENSG00000089248,10961,ERP29
ENSG00000199666,109616984,SNORD3G
ENSG00000221400,109616985,SNORD3J
ENSG00000280704,109617015,SNORD3E
ENSG00000207215,109617016,SNORD3H
ENSG00000168439,10963,STIP1
ENSG00000119673,10965,ACOT2
ENSG00000136026,10970,CKAP4
ENSG00000255154,109703458,HTD2
ENSG00000134308,10971,YWHAQ
ENSG00000170348,10972,TMED10
ENSG00000127540,10975,UQCR11
ENSG00000172409,10978,CLP1
ENSG00000276700,109864274,RNA5-8SN4
ENSG00000278233,109864281,RNA5-8SN2
ENSG00000277414,10990,LILRB5
ENSG00000274311,10990,LILRB5
ENSG00000273991,10990,LILRB5
ENSG00000278437,10990,LILRB5
ENSG00000105609,10990,LILRB5
ENSG00000188338,10991,SLC38A3
ENSG00000275215,109910381,RNA5-8SN3
ENSG00000288387,109910381,RNA5-8SN3
ENSG00000087365,10992,SF3B2
ENSG00000135094,10993,SDS
ENSG00000083807,10998,SLC27A5
ENSG00000167114,10999,SLC27A4
ENSG00000263163,11000,SLC27A3
ENSG00000143554,11000,SLC27A3
ENSG00000140284,11001,SLC27A2
ENSG00000142945,11004,KIF2C
ENSG00000278555,11006,LILRB4
ENSG00000278279,11006,LILRB4
ENSG00000276042,11006,LILRB4
ENSG00000275730,11006,LILRB4
ENSG00000186818,11006,LILRB4
ENSG00000162892,11009,IL24
ENSG00000136457,1101,CHAD
ENSG00000160336,110116772,ZNF761
ENSG00000136240,11014,KDELR2
ENSG00000100196,11015,KDELR3
ENSG00000124380,11017,SNRNP27
ENSG00000121897,11019,LIAS
ENSG00000111737,11021,RAB35
ENSG00000274935,11024,LILRA1
ENSG00000277398,11024,LILRA1
ENSG00000275525,11024,LILRA1
ENSG00000104974,11024,LILRA1
ENSG00000277816,11025,LILRB3
ENSG00000274587,11025,LILRB3
ENSG00000275019,11025,LILRB3
ENSG00000204577,11025,LILRB3
ENSG00000273884,11026,LILRA3
ENSG00000278046,11026,LILRA3
ENSG00000276175,11026,LILRA3
ENSG00000275841,11026,LILRA3
ENSG00000274000,11027,LILRA2
ENSG00000278634,11027,LILRA2
ENSG00000275290,11027,LILRA2
ENSG00000239998,11027,LILRA2
ENSG00000070748,1103,CHAT
ENSG00000168461,11031,RAB31
ENSG00000285379,11035,RIPK3
ENSG00000129465,11035,RIPK3
ENSG00000242441,11036,GTF2A1L
ENSG00000102096,11040,PIM2
ENSG00000174684,11041,B4GAT1
ENSG00000112941,11044,TENT4A
ENSG00000130706,11047,ADRM1
ENSG00000167005,11051,NUDT21
ENSG00000111605,11052,CPSF6
